labeledStrain,env,monoGrow
PP,ArabinoseD,-22.38904154
PP,ArabinoseL,12.40404381
PP,Xylose,24.80377399
PP,Ribose,210.1720293
PP,Rhamnose,9.987147953
PP,Fructose,3333.591127
PP,Galactose,14.92766928
PP,Glucose,104.172226
PP,Glucose01,722.7305101
PP,Mannose,969.8069592
PP,GlcNAc,0.595620773
PP,Acetate,1852.233739
PP,Pyruvate,3550.99422
PP,Pyruvate01,410.4593933
PP,Fumarate,3486.527325
PP,Succinate,2691.536719
PP,Citrate,2244.828798
PP,Glycerol,4847.304927
PP,Glycerol01,1167.360438
PP,Mannitol,35.78379261
PP,Sorbitol,17.97553834
PP,Alanine,3907.982093
PP,Serine,1818.007823
PP,Proline,3430.504464
PP,Proline01,676.2995853
PP,Glutamine,2832.655506
PP,Arginine,3200.071767
PP,Trehalose,-17.29654318
PP,Cellobiose,-1.61136202
PP,Maltose,1.542519826
PP,Sucrose,26.96193413
PP,Sucrose01,6.582333177
PP,Lactose,-18.81212424
PP,Raffinose,4.966425979
PP,Melezitose,7.650301465
PP,Arabinogalactan,89.71205563
PP,Isoleucine,4408.658513
PP,Uridine,285.5963206
PP,Mix,2440.39255
PP,Water,0
SF1,ArabinoseD,-21.43345472
SF1,ArabinoseL,307.9501966
SF1,Xylose,313.6250123
SF1,Ribose,326.2710484
SF1,Rhamnose,65.59638661
SF1,Fructose,270.5590967
SF1,Galactose,308.0029776
SF1,Glucose,173.9363797
SF1,Glucose01,9.047571926
SF1,Mannose,297.5942626
SF1,GlcNAc,295.099
SF1,Acetate,7.755480413
SF1,Pyruvate,213.8763352
SF1,Pyruvate01,22.65085845
SF1,Fumarate,-6.030823688
SF1,Succinate,5.335451804
SF1,Citrate,68.29719775
SF1,Glycerol,178.2126133
SF1,Glycerol01,56.39789253
SF1,Mannitol,220.7299314
SF1,Sorbitol,308.0020668
SF1,Alanine,158.4080355
SF1,Serine,0.078463331
SF1,Proline,5.756616418
SF1,Proline01,7.092706874
SF1,Glutamine,5.597572136
SF1,Arginine,1.222675404
SF1,Trehalose,246.3390691
SF1,Cellobiose,-6.269152666
SF1,Maltose,287.3632751
SF1,Sucrose,-14.55774654
SF1,Sucrose01,-9.488470344
SF1,Lactose,0.708898767
SF1,Raffinose,262.325364
SF1,Melezitose,2.334641764
SF1,Arabinogalactan,-7.403503893
SF1,Isoleucine,-14.39456023
SF1,Uridine,46.4084301
SF1,Mix,284.0711776
SF1,Water,0
EC,ArabinoseD,13.082301
EC,ArabinoseL,13685.07104
EC,Xylose,2611.395172
EC,Ribose,646.0010244
EC,Rhamnose,658.9221406
EC,Fructose,9475.328809
