,acc,mcc,Recall,Precision,strain,closest_strain,distance,ith
0,0.7882758620689655,0.42021364117696647,0.5635838150289018,0.5555555555555556,PR2,PR1,0.02541545,0.0
1,0.8449089683074849,0.5453930562316598,0.5862068965517241,0.7034482758620689,PR2,PAr,0.03417823,1.0
2,0.7856640899508082,0.4186373849192484,0.5756676557863502,0.5449438202247191,PR2,PH,0.06483484,2.0
3,0.7799862919808088,0.4535508860982802,0.6811594202898551,0.5269058295964125,PR2,PP,0.0791541,3.0
4,0.7550881953867028,0.31762291385124664,0.4782608695652174,0.476878612716763,PR2,PK,0.09188788,4.0
5,0.7287559483344663,0.1811127429020092,0.3017241379310345,0.40229885057471265,PR2,PAg1,0.56522196,5.0
6,0.7009413468501087,0.22999858414184882,0.4629080118694362,0.4020618556701031,PR2,PAg2,0.57021691,6.0
7,0.7218095881161377,0.16743712871181016,0.29914529914529914,0.3874538745387454,PR2,EL,0.57326107,7.0
8,0.6849593495934959,0.11276860195977326,0.3076923076923077,0.32727272727272727,PR2,BI,0.60075236,8.0
9,0.6973232669869595,0.08055442720895446,0.22832369942196531,0.31225296442687744,PR2,CF,0.60789191,9.0
10,0.6022330774598744,-0.008462992907727935,0.29376854599406527,0.2296983758700696,PR2,EC,0.61381935,10.0
11,0.7474610697359513,0.2540766608851041,0.3654390934844193,0.46402877697841727,PR2,PAg3,0.61435932,11.0
12,0.6904761904761905,0.13236214343353386,0.3275862068965517,0.3402985074626866,PR2,LA,0.61734586,12.0
13,0.6845360824742268,0.12725031105198478,0.3392330383480826,0.32857142857142857,PR2,RP1,0.6194579,13.0
14,0.6787234042553192,0.09394947077055332,0.28994082840236685,0.31511254019292606,PR2,KA,0.62007802,14.0
15,0.7083333333333334,0.11618651769894205,0.2676923076923077,0.3320610687022901,PR2,RP2,0.62258338,15.0
16,0.7015742642026009,0.10471730402659177,0.26176470588235295,0.3248175182481752,PR2,PAl,0.6443549,16.0
17,0.6486111111111111,0.09286093863249865,0.36070381231671556,0.29927007299270075,PR2,SF1,0.68934665,17.0
18,0.6774415405777167,0.14416323992991326,0.3786127167630058,0.34025974025974026,PR2,EA,0.69568183,18.0
19,0.8429752066115702,0.5537860997868975,0.5910364145658263,0.7201365187713311,PR1,PAr,0.02513106,0.0
20,0.7885674931129476,0.4228344682552528,0.5533707865168539,0.5710144927536231,PR1,PR2,0.02541545,1.0
21,0.7786532951289399,0.4034261558504406,0.5510204081632653,0.5494186046511628,PR1,PH,0.05578767,2.0
22,0.775052557813595,0.4459723742292374,0.6657223796033994,0.5365296803652968,PR1,PP,0.07010693,3.0
23,0.7657657657657657,0.3605457986120062,0.4986072423398329,0.5311572700296736,PR1,PK,0.08284071,4.0
24,0.7194444444444444,0.16738815840292576,0.288135593220339,0.4015748031496063,PR1,PAg1,0.55617479,5.0
25,0.6816838995568686,0.17909515659834968,0.41420118343195267,0.3753351206434316,PR1,PAg2,0.56116974,6.0
26,0.717136958017894,0.16962853562336602,0.29971988795518206,0.39925373134328357,PR1,EL,0.5642139,7.0
27,0.7176470588235294,0.21148935364132784,0.37677053824362605,0.4143302180685358,PR1,BI,0.59170519,8.0
28,0.7278436845778088,0.18776558346347608,0.29461756373937675,0.42448979591836733,PR1,CF,0.59884474,9.0
29,0.6355206847360912,0.1016673143838372,0.39766081871345027,0.30839002267573695,PR1,EC,0.60477218,10.0
30,0.7281553398058253,0.2030405653409043,0.3202247191011236,0.4318181818181818,PR1,PAg3,0.60531215,11.0
31,0.6664350243224462,0.0726400931840137,0.2776203966005666,0.30340557275541796,PR1,LA,0.60829869,12.0
32,0.6916608269096005,0.1622939444813346,0.3649425287356322,0.3670520231213873,PR1,RP1,0.61041073,13.0
33,0.7070707070707071,0.19400273961383702,0.3638968481375358,0.40836012861736337,PR1,KA,0.61103085,14.0
34,0.7094448449891853,0.1576767117578422,0.30116959064327486,0.3857677902621723,PR1,RP2,0.61353621,15.0
35,0.7280334728033473,0.2035844987716616,0.32951289398280803,0.42435424354243545,PR1,PAl,0.63530773,16.0
36,0.6786723163841808,0.1767494400340361,0.42485549132947975,0.36476426799007444,PR1,SF1,0.68029948,17.0
