,r2,rmse,strain,closest_strain,distance,ith
0,0.1773641211695498,0.9069927666913657,PR2,PR1,0.02541545,0.0
1,0.4034091637210875,0.772392928682619,PR2,PAr,0.03417823,1.0
2,0.22017353029804176,0.8830778389824736,PR2,PH,0.06483484,2.0
3,-0.28661825448365974,1.1342919617469178,PR2,PP,0.0791541,3.0
4,-0.23689563809105207,1.112158099413498,PR2,PK,0.09188788,4.0
5,-0.07428330441501219,1.0364763887397621,PR2,PAg1,0.56522196,5.0
6,-0.3012729095563471,1.1407334962892683,PR2,PAg2,0.57021691,6.0
7,-0.09114779406624018,1.0445801999206386,PR2,EL,0.57326107,7.0
8,-0.41157533473579533,1.188097359114902,PR2,BI,0.60075236,8.0
9,-0.31116548370336816,1.1450613449520317,PR2,CF,0.60789191,9.0
10,-1.8160476641861325,1.6781083588928762,PR2,EC,0.61381935,10.0
11,-0.01839198920152918,1.00915409586521,PR2,PAg3,0.61435932,11.0
12,-0.26846161588634265,1.1262600125576423,PR2,LA,0.61734586,12.0
13,-0.3036342169917754,1.1417680224072555,PR2,RP1,0.6194579,13.0
14,-0.4076950557938619,1.1864632551385068,PR2,KA,0.62007802,14.0
15,-0.28723328486021793,1.1345630369707187,PR2,RP2,0.62258338,15.0
16,-0.03156248642170212,1.0156586466041142,PR2,PAl,0.6443549,16.0
17,-0.3922556293769295,1.1799388244213862,PR2,SF1,0.68934665,17.0
18,-0.19782955599423824,1.0944539990306736,PR2,EA,0.69568183,18.0
19,0.3216397228256599,0.823626297039101,PR1,PAr,0.02513106,0.0
20,-0.17520167425220468,1.0840671908383728,PR1,PR2,0.02541545,1.0
21,0.2600307331945785,0.8602146632122842,PR1,PH,0.05578767,2.0
22,-0.5026424712370501,1.2258231810653015,PR1,PP,0.07010693,3.0
23,-0.27985406975780114,1.1313063553953038,PR1,PK,0.08284071,4.0
24,-0.042278594705615236,1.0209204644366832,PR1,PAg1,0.55617479,5.0
25,-0.48950076893047356,1.220451051427493,PR1,PAg2,0.56116974,6.0
26,-0.05180300101259605,1.025574473654934,PR1,EL,0.5642139,7.0
27,-0.1398106882728838,1.0676191681835259,PR1,BI,0.59170519,8.0
28,-0.20162994259219902,1.096188826157336,PR1,CF,0.59884474,9.0
29,-2.3988643361451496,1.8436009156390534,PR1,EC,0.60477218,10.0
30,-0.09712774004115654,1.047438656934696,PR1,PAg3,0.60531215,11.0
31,-0.4156224378131015,1.1897993266988751,PR1,LA,0.60829869,12.0
32,-0.23803920536993806,1.112672101461138,PR1,RP1,0.61041073,13.0
33,-0.12117356562616943,1.0588548368998303,PR1,KA,0.61103085,14.0
34,-0.20492460354952535,1.0976905773256518,PR1,RP2,0.61353621,15.0
35,0.18656304210461228,0.9019073998451222,PR1,PAl,0.63530773,16.0
36,-0.19281948516363223,1.0921627558031948,PR1,SF1,0.68029948,17.0
37,-0.10252351197759135,1.0500111961201144,PR1,EA,0.68663466,18.0
38,0.5280943190670202,0.6869539147082442,PAr,PR1,0.02513106,0.0
39,0.40012874617974814,0.7745135594812077,PAr,PR2,0.03417823,1.0
40,0.3021423699901803,0.8353787344730654,PAr,PH,0.04313131,2.0
41,-0.17074567435136556,1.0820100158276553,PAr,PP,0.05745057,3.0
42,0.23133664899900408,0.8767344814714376,PAr,PK,0.07018435,4.0
43,-0.08002113091146312,1.0392406511061125,PAr,PAg1,0.53929537,5.0
44,-0.3390837052604554,1.157187843550236,PAr,PAg2,0.54429032,6.0
45,0.04621372973771032,0.9766198186921474,PAr,EL,0.54733448,7.0
46,-0.12099310802692309,1.0587696199017584,PAr,BI,0.57482577,8.0
47,-0.13344892696693278,1.0646355841164277,PAr,CF,0.58196532,9.0
48,-1.3790819791136943,1.5424273010789504,PAr,EC,0.58789276,10.0
49,-0.07210087916215246,1.0354230435730891,PAr,PAg3,0.58843273,11.0
50,-0.35203059140799886,1.1627685029308303,PAr,LA,0.59141927,12.0
51,-0.18345826807135235,1.0878686814461374,PAr,RP1,0.59353131,13.0
52,-0.05050802354860906,1.0249429367279947,PAr,KA,0.59415143,14.0
53,-0.1652016124538136,1.0794450483715334,PAr,RP2,0.59665679,15.0
54,0.08116420305286842,0.9585592297542839,PAr,PAl,0.61842831,16.0
55,-0.12089372974756984,1.058722687840199,PAr,SF1,0.66342006,17.0
56,-0.1082295653940879,1.052724828905488,PAr,EA,0.66975524,18.0
57,-0.06938582531982407,1.0341111281287987,EC,EL,0.08640246,0.0
58,0.13186284263977266,0.9317387817195428,EC,BI,0.11389375,1.0
59,0.1420290087813525,0.9262672353153036,EC,CF,0.1210333,2.0
60,-0.029352123217618598,1.0145699203197502,EC,PAg1,0.12135235,3.0
61,-0.06567194573951474,1.0323138794666669,EC,PAg2,0.1263473,4.0
62,-0.10703851700009603,1.0521589789571286,EC,LA,0.13048725,5.0
63,-0.05547813183054506,1.0273646537771048,EC,RP1,0.13259929,6.0
64,0.13255564034515444,0.9313669307286171,EC,KA,0.13321941,7.0
65,-0.003602420892261815,1.001799591181913,EC,RP2,0.13572477,8.0
66,-0.059214191602431576,1.0291813210520426,EC,PAg3,0.17048971,9.0
67,-0.026277647420092975,1.0130536251453306,EC,PAl,0.20048529,10.0
68,0.08549696989981581,0.9562965178751701,EC,SF1,0.20248804,11.0
69,-0.1252169612874532,1.0607624433809115,EC,EA,0.20882322,12.0
70,-0.14151708730290147,1.068418030221746,EC,PAr,0.58789276,13.0
71,-0.10016743043086707,1.0488886644591406,EC,PR1,0.60477218,14.0
72,-0.31828679172014973,1.1481667090279841,EC,PR2,0.61381935,15.0
