,index,accuracy,mcc,recall,precision,accuracy_with_mono,mcc_with_mono,recall_with_mono,precision_with_mono,accuracy_without_mono,mcc_without_mono,recall_without_mono,precision_without_mono,accuracy_copy_model,mcc_copy_model,recall_copy_model,precision_copy_model
0,Acetate,0.8533333333333334,0.6890724999690425,0.8214285714285714,0.7931034482758621,0.7582697201017812,0.476286714684792,0.7295081967213115,0.5894039735099338,0.6437659033078881,0.21948004837815377,0.5462184873949579,0.4304635761589404,0.6327077747989276,0.1429641436964997,0.5897435897435898,0.1597222222222222
1,Alanine,0.8282828282828283,0.3260668413381571,0.2631578947368421,0.625,0.8520408163265306,0.289358554214894,0.631578947368421,0.19047619047619047,0.7678571428571429,0.18706882829474614,0.3055555555555556,0.3492063492063492,0.8358974358974359,0.16581843273100647,0.4666666666666667,0.1111111111111111
2,Arabinogalactan,0.9428571428571428,0.32720525646358056,0.25,0.5,0.9217171717171717,0.1118551743073853,0.5,0.03225806451612903,0.8636363636363636,0.08220048428054602,0.15151515151515152,0.16129032258064516,0.9116883116883117,0.17844507309163435,0.36363636363636365,0.12903225806451613
3,ArabinoseD,0.9102564102564102,0.33372283151192506,0.2857142857142857,0.5,0.9027777777777778,0.0,0.0,0.0,0.9027777777777778,0.0,0.0,0.0,0.8917378917378918,0.07906919411612778,0.25,0.058823529411764705
4,ArabinoseL,0.9466666666666667,0.7747439148575582,0.7272727272727273,0.8888888888888888,0.9429347826086957,0.7979874238587169,0.8125,0.8524590163934426,0.8532608695652174,0.37161796895368865,0.6060606060606061,0.32786885245901637,0.8461538461538461,0.3411544864668665,0.6071428571428571,0.2833333333333333
5,Arginine,0.8372093023255814,0.6406680792225332,0.6451612903225806,0.8695652173913043,0.8384615384615385,0.6259654574572432,0.9113924050632911,0.5625,0.6923076923076923,0.22338103834181516,0.5606060606060606,0.2890625,0.7642487046632125,0.43585695101014477,0.673469387755102,0.528
6,Cellobiose,0.8902439024390244,0.7768560601547856,0.7575757575757576,0.9615384615384616,0.9022556390977443,0.7901300717449806,0.9646017699115044,0.7569444444444444,0.7518796992481203,0.4398867616878306,0.8,0.4166666666666667,0.6779220779220779,0.30618532728752473,0.5602836879432624,0.5602836879432624
7,Citrate,0.8681318681318682,0.6008771929824561,0.6842105263157895,0.6842105263157895,0.8661417322834646,0.6033721779103344,0.7910447761194029,0.5888888888888889,0.7270341207349081,0.2078845201676001,0.41025641025641024,0.35555555555555557,0.7047872340425532,0.33472563888063406,0.42142857142857143,0.6629213483146067
8,Fructose,0.9382716049382716,0.584087580041128,0.6666666666666666,0.5714285714285714,0.9366754617414248,0.5133165456773534,0.8,0.36363636363636365,0.8891820580474934,0.45411506089167153,0.4117647058823529,0.6363636363636364,0.75,0.05743419729602626,0.1267605633802817,0.28125
9,Fumarate,0.9242424242424242,0.8323930452245809,0.8260869565217391,0.95,0.834625322997416,0.6374221834304094,0.7761194029850746,0.7536231884057971,0.7364341085271318,0.4185327070645612,0.6384615384615384,0.6014492753623188,0.7712765957446809,0.5177878898161153,0.6622516556291391,0.7407407407407407
