,index,accuracy,mcc,recall,precision,accuracy_with_mono,mcc_with_mono,recall_with_mono,precision_with_mono,accuracy_without_mono,mcc_without_mono,recall_without_mono,precision_without_mono,accuracy_copy_model,mcc_copy_model,recall_copy_model,precision_copy_model
0,Acetate,0.7176470588235294,0.4443745660406747,0.627906976744186,0.7714285714285715,0.7430025445292621,0.4394704101556468,0.7551020408163265,0.4900662251655629,0.5903307888040712,0.0190227025516642,0.4074074074074074,0.1456953642384106,0.7047872340425532,0.33472563888063406,0.6629213483146067,0.42142857142857143
1,Alanine,0.8166666666666667,0.34599144087229333,0.23076923076923078,0.75,0.8418367346938775,0.2023754601458713,0.5333333333333333,0.12698412698412698,0.7755102040816326,0.016990024957444744,0.1794871794871795,0.1111111111111111,0.6552631578947369,0.108474786392167,0.21774193548387097,0.4426229508196721
2,Arabinogalactan,0.8695652173913043,0.0,0.0,0.0,0.9191919191919192,0.08295803314688677,0.3333333333333333,0.03225806451612903,0.9217171717171717,0.0,0.0,0.0,0.8543417366946778,0.057177363674012806,0.11428571428571428,0.16
3,ArabinoseD,0.9142857142857143,0.39969584898653904,0.2857142857142857,0.6666666666666666,0.9027777777777778,0.0,0.0,0.0,0.9027777777777778,0.0,0.0,0.0,0.8917378917378918,0.07906919411612778,0.25,0.058823529411764705
4,ArabinoseL,0.9230769230769231,0.686773437176115,0.6666666666666666,0.8,0.9538043478260869,0.8254643515425573,0.9583333333333334,0.7540983606557377,0.8559782608695652,0.32999679817869515,0.9,0.14754098360655737,0.8111111111111111,0.27417791853730933,0.42857142857142855,0.3442622950819672
5,Arginine,0.8734177215189873,0.7073606963610153,0.6923076923076923,0.9,0.841025641025641,0.6349323299939578,0.9342105263157895,0.5546875,0.7564102564102564,0.4141525823096928,0.8666666666666667,0.3046875,0.6693121693121693,0.2579286603355951,0.49230769230769234,0.5203252032520326
6,Cellobiose,0.8481012658227848,0.6613485393914961,0.6785714285714286,0.8636363636363636,0.8847117794486216,0.7531415154230788,0.9622641509433962,0.7083333333333334,0.7593984962406015,0.4643671357341984,0.8529411764705882,0.4027777777777778,0.7657430730478589,0.4747623743962358,0.7192982456140351,0.5734265734265734
7,Citrate,0.8354430379746836,0.5064849640631998,0.5555555555555556,0.6666666666666666,0.8503937007874016,0.5505078063891973,0.9714285714285714,0.37777777777777777,0.7611548556430446,0.07624962952339621,0.4444444444444444,0.044444444444444446,0.6476964769647696,0.1542446138471006,0.31746031746031744,0.47619047619047616
8,Fructose,0.961038961038961,0.78065375798434,0.75,0.8571428571428571,0.9182058047493403,0.2358443096221723,1.0,0.06060606060606061,0.8918205804749341,0.3977941010923127,0.40476190476190477,0.5151515151515151,0.7983870967741935,0.05580684237796761,0.12280701754385964,0.21875
9,Fumarate,0.8554216867469879,0.711624737693083,0.6764705882352942,0.9583333333333334,0.8062015503875969,0.5711560000028956,0.7480314960629921,0.6884057971014492,0.7493540051679587,0.43666572137185844,0.6782608695652174,0.5652173913043478,0.6693121693121693,0.2579286603355951,0.5203252032520326,0.49230769230769234
