,index,accuracy,mcc,recall,precision,accuracy_with_mono,mcc_with_mono,recall_with_mono,precision_with_mono,accuracy_without_mono,mcc_without_mono,recall_without_mono,precision_without_mono,accuracy_copy_model,mcc_copy_model,recall_copy_model,precision_copy_model
0,BI,0.8873239436619719,0.6598594786688303,0.65625,0.8076923076923077,0.8766318537859008,0.622441452964581,0.8454935622317596,0.5628571428571428,0.8629242819843342,0.5745572294308608,0.8271028037383178,0.5057142857142857,0.8518263266712612,0.5552461220390392,0.7364341085271318,0.5637982195845698
1,CF,0.9408284023668639,0.7610526275681431,0.7307692307692307,0.8636363636363636,0.8849206349206349,0.6305420088145653,0.6633986928104575,0.7408759124087592,0.8842592592592593,0.6094249524375952,0.6813186813186813,0.6788321167883211,0.855072463768116,0.5667487314704956,0.5915915915915916,0.7269372693726938
2,EA,0.8482758620689655,0.6088384492685501,0.6341463414634146,0.7878787878787878,0.8325612177365983,0.5515736702826478,0.7339449541284404,0.5911330049261084,0.6968894771674388,0.20070292935660478,0.42777777777777776,0.3793103448275862,0.6704304869442484,0.17475388867869834,0.3944723618090452,0.40992167101827676
3,EC,0.934640522875817,0.7903603526518092,0.7741935483870968,0.8888888888888888,0.7230046948356808,0.3256779217885837,0.5775401069518716,0.4585987261146497,0.7008718980549966,0.19979331675378634,0.5722543352601156,0.21019108280254778,0.6476719944405838,0.09432299320590098,0.41796875,0.23010752688172043
4,EL,0.8765432098765432,0.5232355958394038,0.5,0.7,0.8927875243664717,0.6323483121764223,0.7540322580645161,0.6426116838487973,0.792722547108512,0.36511031352442597,0.45857988165680474,0.5326460481099656,0.8066485753052918,0.42739396634435955,0.49709302325581395,0.6042402826855123
5,KA,0.922077922077922,0.7887480066086028,0.7948717948717948,0.8857142857142857,0.8957055214723927,0.689406680216652,0.8661417322834646,0.6489675516224189,0.8554873892297206,0.5573035023278315,0.777292576419214,0.5250737463126843,0.865370770338373,0.6052573625339502,0.7782101167315175,0.6060606060606061
6,LA,0.8541666666666666,0.5364796810572308,0.5483870967741935,0.7083333333333334,0.8844386080105056,0.6592720314995644,0.8565891472868217,0.6138888888888889,0.824688115561392,0.46147824355874184,0.7048458149779736,0.4444444444444444,0.7872487872487872,0.4226780970221149,0.5609065155807366,0.5657142857142857
7,PAg1,0.8625,0.40437783521425685,0.4166666666666667,0.5555555555555556,0.8689384010484927,0.5750404181878667,0.6312292358803987,0.6810035842293907,0.7608125819134993,0.34813189655308213,0.39906103286384975,0.6093189964157706,0.8008784773060029,0.47243690667773036,0.48711340206185566,0.7213740458015268
8,PAg2,0.828125,0.5766586806583964,0.6153846153846154,0.7741935483870968,0.8394718554551772,0.5842406652006088,0.8942731277533039,0.4951219512195122,0.7949965253648367,0.4485034292776447,0.7601809954751131,0.4097560975609756,0.7985559566787004,0.47223024028886634,0.748,0.4640198511166253
9,PAg3,0.935672514619883,0.7730584673582008,0.7419354838709677,0.8846153846153846,0.8480104370515329,0.4480784870570876,0.6648936170212766,0.423728813559322,0.8427919112850619,0.424488637074388,0.6483516483516484,0.4,0.8689419795221843,0.5778385095099456,0.6801470588235294,0.6379310344827587
10,PAl,0.815068493150685,0.13721341852423896,0.18181818181818182,0.3076923076923077,0.8193803559657218,0.3933455721607534,0.5369649805447471,0.4709897610921502,0.7976268951878708,0.28694208764517654,0.4681818181818182,0.3515358361774744,0.7778541953232462,0.2888267330177978,0.43795620437956206,0.41522491349480967
11,PAr,0.9096774193548387,0.724339430894309,0.78125,0.78125,0.90234375,0.6799415805520792,0.7607142857142857,0.7195945945945946,0.8684895833333334,0.5906877652151382,0.646875,0.6993243243243243,0.8441379310344828,0.5569989738775957,0.5910364145658263,0.7250859106529209
12,PH,0.8944099378881988,0.7105382040676937,0.7073170731707317,0.8529411764705882,0.8657627118644068,0.6155907342339583,0.8,0.6060606060606061,0.8074576271186441,0.48792639434599955,0.6047745358090185,0.628099173553719,0.8022440392706872,0.43850779574521914,0.6413043478260869,0.49166666666666664
