,Bug 1,Bug 2,Carbon,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
11570,PR2,PK,Mix,3269.589672,15943.93743,5401.550267,1254.1250775661376,1663.9342346447531,2759.911010298725,3559.081141984618,935.9820333754828,1520.1451734521138,1.6398755564620169,0.0056531287404293,1.734465090778677,0.0343645341896359
9682,SF1,EC,Sucrose,-14.55774654,29179.12915,8.7570777,-18.56184030349857,-41.90109634999988,-2689.207894007573,2758.239159096253,-4003.379981210841,4360.020146252447,-0.7354472493977712,0.2471410927598533,-0.6435193071495694,-0.04782846145587
7582,PK,BI,Maltose,-22.86760913,19353.87779,689.848118,-91.71847371521916,5.309813984579819,-4304.747933170012,-2670.2739647436097,135.29734897242852,85.30821748610386,1.734465090778677,0.0343645341896359,-0.7807537139600523,0.0380225394363147
14,PAl,PAl,Fumarate,193.3937302,0.0,193.3937302,64.67464486105665,64.67464486105665,-1109.7987677274416,3536.582028637915,422.8306259242859,-922.8124517836892,-0.5643511278633632,-0.250667083381068,-0.5643511278633632,-0.250667083381068
379,BI,PAl,Sucrose01,-1.644973949,1913.567957,38.83647778,-50.67723232702849,22.787102043072075,-4757.977930250542,-1619.4842856891546,-299.77172516681986,276.64167543083903,-0.7807537139600523,0.0380225394363147,-0.5643511278633632,-0.250667083381068
10822,PH,EA,Raffinose,-25.18742046,18110.66951,-0.61984822,-216.8012152165652,-20.233022953789032,-4940.437649331323,-2342.738629531002,181.70556618915427,-271.3795787270663,1.675692322398025,0.0107785747182994,-0.7286059140580324,0.2582533144674926
13050,PAr,PAr,Pyruvate,2547.147359,0.0,2547.147359,236.07833432478049,236.07833432478049,2948.202194327789,3875.839637567356,1373.0798365124526,312.5572073877007,1.5779525775593926,-0.0142748062335358,1.5779525775593926,-0.0142748062335358
13217,PAl,PR2,Sorbitol,879.7215944,14747.86023,21.30649732,63.61307185886688,-136.30297382951596,3025.109188570561,-4388.14781823144,-1239.609695631989,-2140.1307152473296,-0.5643511278633632,-0.250667083381068,1.6398755564620169,0.0056531287404293
14599,PR2,PH,ArabinoseD,-18.49639049,11198.69026,25.61804785,-149.8927056024495,-170.45835446348963,-5001.488171724186,-2267.6661119247383,146.25780552009113,-359.92321590704427,1.6398755564620169,0.0056531287404293,1.675692322398025,0.0107785747182994
15422,PH,PP,Cellobiose,29.66117761,12920.1853,-1.61136202,-168.18881902456815,-87.18117872773563,-4540.841100752734,-2411.5148155820675,194.30540693002573,224.30168399432355,1.675692322398025,0.0107785747182994,1.7082373371805837,0.0228923513977414
1104,SF1,PAg2,Raffinose,262.325364,2576.622732,-11.00980773,63.57120224346204,-12.772517317246866,-4940.437649331323,-2342.738629531002,181.70556618915427,-271.3795787270663,-0.7354472493977712,0.2471410927598533,-0.6309041661015486,-0.2015744697433372
