Bug 1,Bug 2,Carbon,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
CF,RP1,Sorbitol,1034.086441,2307.839796,802.154976,313.20359639326955,505.6648911365701,3025.109188570561,-4388.14781823144,-2140.1307152473296,-0.7747391645761742,0.0463737318058709,-0.796280534436652,0.1132262738115668
CF,PK,Glucose01,42.66451088,18340.17212,853.7567848,0.234592148634988,114.65294915489004,-3498.5210735170613,-668.5771724619559,-476.3321488083415,-0.7747391645761742,0.0463737318058709,1.734465090778677,0.0343645341896359
EA,PAl,Melezitose,6.602796004,2185.499199,-1.779635627,-20.81505598560364,-30.740654699680928,-5011.342115777467,-2263.3790096722782,-402.5875347805217,-0.7286059140580324,0.2582533144674926,-0.5643511278633632,-0.250667083381068
PAg1,BI,Water,0.0,3147.001451,0.0,-68.55143804066972,-44.291171190708496,-5012.312205527095,-2264.234742272802,-415.48598176092287,-0.6443154712889336,-0.2220118218825399,-0.7807537139600523,0.0380225394363147
EC,KA,Mannitol,6234.639254,26518.21871,1039.665335,205.64212815,353.6643327611623,4703.716698953833,-39.59385830218482,1986.6680726624932,-0.6435193071495694,-0.04782846145587,-0.7612583622572914,0.0598887978357191
EL,PR2,Uridine,129.0743632,14648.71994,63.84613163,-22.533192664063908,-130.39502607945826,-3560.7358050403977,-1562.526406150641,-599.4438837790732,-0.7347306548489613,-0.0440939376470185,1.6398755564620169,0.0056531287404293
PR2,PAg2,Lactose,-31.57376752,14054.96924,-7.070839856,-150.69223960801892,-14.951120829715933,4030.8857189822543,-8472.949601319571,822.9364983016548,1.6398755564620169,0.0056531287404293,-0.6309041661015486,-0.2015744697433372
PR2,PAr,Cellobiose,-28.48206877,8586.542597,36.81011862,-147.27384223580182,-87.95675675920107,-4540.841100752734,-2411.5148155820675,224.30168399432355,1.6398755564620169,0.0056531287404293,1.5779525775593926,-0.0142748062335358
PAg2,PR1,Rhamnose,578.6117607,16113.17359,44.31295816,164.33143342988944,-92.20204090317054,-4170.626376599495,-2666.583267557139,114.1443569589125,-0.6309041661015486,-0.2015744697433372,1.62148647467857,-0.002116133365859
BI,PH,ArabinoseL,678.1262155,18306.29082,35.78562378,70.22354925915896,-161.1114819621199,12335.053502387886,-3617.8105890062825,-1156.2145892128715,-0.7807537139600523,0.0380225394363147,1.675692322398025,0.0107785747182994
