carbon,BI,CF,EA,EC,EL,KA,LA,PAg1,PAg2,PAg3,PAl,PAr,PH,PK,PP,PR1,PR2,RP1,RP2,SF1
ArabinoseD,-7.381439851,-1.925921568,-4.393985571,13.082301,4.188936172,5.950916523,3.574968719,0.996727968,121.5171036,4.361506134,-8.06855257,15.42900618,25.61804785,20.86980932,-22.38904154,-37.40887495,-18.49639049,4.340991344,24.72618636,-21.43345472
ArabinoseL,678.1262155,1534.58107,10.55815597,13685.07104,641.4424304,1267.185468,574.887109,685.5277092,425.4960732,347.5523889,755.5035422,3887.042202,35.78562378,6794.826846,12.40404381,5955.614889,4385.911152,808.642218,512.1652468,307.9501966
Xylose,809.4465804,1304.696793,-5.402805718,2611.395172,881.0785403,1218.447444,554.3643898,693.9718437,302.7197644,220.336616,753.4142182,331.8376188,42.73325434,6247.327629,24.80377399,152.344323,-10.07006193,847.5493632,720.8667543,313.6250123
Ribose,741.1538187,853.7904747,572.2017502,646.0010244,817.7644659,1254.847351,661.2274216,921.4839883,758.6572441,538.8218849,358.8712166,353.8672437,1044.165182,5321.278713,210.1720293,838.0532335,57.00077517,735.2163619,586.3287256,326.2710484
Rhamnose,399.6016922,664.1993232,8.604368989,658.9221406,401.6829929,640.8534326,528.6002891,1024.439588,578.6117607,790.360135,51.59125865,25.34674739,47.00770465,19.34071801,9.987147953,44.31295816,-23.19915322,797.4163683,590.579833,65.59638661
Fructose,731.827544,1011.491808,512.4687396,9475.328809,641.4278872,1051.98821,562.9917568,1025.48989,530.6003674,746.3314277,681.1760995,2452.706592,1174.03396,4369.451626,3333.591127,4171.566273,2348.146038,809.1242417,608.7316027,270.5590967
Galactose,798.5540114,1077.720206,650.9319444,10721.52084,984.0596099,1080.917147,688.2578243,900.1269488,192.2369965,778.6573408,324.5312202,2446.872613,2097.682882,5162.716981,14.92766928,4683.986689,644.8498676,810.3343593,592.200481,308.0029776
Glucose,11.60312764,665.7794742,321.8210539,7431.837628,546.7639875,977.7130799,431.7958899,731.3316399,453.7119951,588.6722137,640.9109579,2781.962261,5940.261662,6356.45622,104.172226,3933.24502,3865.33553,620.3808947,494.1570613,173.9363797
Glucose01,45.76606953,42.66451088,18.15916496,350.7355648,56.26884538,55.67549125,53.82099056,83.56343619,47.62975059,76.33534831,24.70449388,845.632255,1125.867885,853.7567848,722.7305101,1014.577994,715.887703,48.26435576,56.37414362,9.047571926
Mannose,774.3794122,1122.351353,423.5912715,8895.146004,722.0398761,1208.075909,680.7820772,1281.82275,1155.821936,1065.251128,462.4562098,1134.910363,1693.274265,1278.006574,969.8069592,1589.935679,1151.121799,801.8859545,587.6650455,297.5942626
GlcNAc,708.0546074,1057.585394,645.7641988,5976.153,482.4285663,838.1604174,385.9191478,1504.710911,984.150889,1042.324145,104.8927423,1658.501736,5123.533732,76.69164428,0.595620773,1387.707924,4245.945693,879.5134636,720.235397,295.099
Acetate,17.78568972,48.77976749,32.21086994,43.7176934,337.8699023,86.05120162,76.19412972,15.02481971,-7.018267575,24.22620584,55.98748073,1388.915272,2146.296509,2399.145788,1852.233739,2327.338169,1795.25373,374.4295474,224.9884616,7.755480413
Pyruvate,451.2014871,603.467062,77.17518965,2921.91896,400.8996756,575.07254,425.2697071,1075.153071,994.957644,661.4082078,243.3419865,2547.147359,4603.234597,5656.948072,3550.99422,3732.636905,2778.361245,476.2049351,422.2508858,213.8763352
Pyruvate01,52.76208517,45.34091897,45.32715995,272.9030303,49.21693108,59.00475842,36.09633272,122.0155996,134.6413267,90.97960709,61.1511863,673.8389179,1050.597359,955.7720498,410.4593933,514.7024248,520.5155611,49.14971912,50.57279165,22.65085845
Fumarate,33.21569788,5.761601496,205.4676163,37.089502,269.7371814,8.136974385,65.4905892,453.0155802,445.5109856,338.5365706,193.3937302,2022.319537,3358.26005,3181.241737,3486.527325,2875.332985,2168.98278,3.551282363,13.72639478,-6.030823688
Succinate,-1.610718881,-9.087702129,244.2829916,155.6762744,564.6809217,-0.310589036,36.72364084,623.8148948,456.2619447,446.5607614,422.6449981,2593.443927,3656.818918,3739.399274,2691.536719,3247.044977,2457.504009,19.52031243,12.05444505,5.335451804
Citrate,128.9744481,316.7517097,216.969407,5.1982751,377.1479789,346.7810293,301.5365524,436.7200356,-8.747030181,289.1242659,287.2254931,2062.518701,3321.890104,2640.44347,2244.828798,2570.866751,1786.835999,354.687095,258.7740448,68.29719775
