,Bug 1,metDis,Bug 2
0,PR2,0.0,PR2
1,PR2,10844.119181397973,PR1
2,PR2,8677.309044065103,PAr
3,PR2,26391.480054972326,EC
4,PR2,14936.913514187177,EL
5,PR2,15270.882865764699,LA
6,PR2,15216.976273356868,RP2
7,PR2,14953.272073019225,RP1
8,PR2,15395.631946963245,EA
9,PR2,16150.968305955219,SF1
10,PR2,15614.389073074864,BI
11,PR2,14931.738289102268,KA
12,PR2,14748.763872478008,CF
13,PR2,14286.274902053445,PAg2
14,PR2,13794.446697304244,PAg1
15,PR2,14896.316054250632,PAl
16,PR2,14485.236308400841,PAg3
17,PR2,11185.054716323275,PH
18,PR2,15966.983781232577,PK
19,PR2,12099.175801464602,PP
20,PR1,10844.119181397973,PR2
21,PR1,0.0,PR1
22,PR1,6393.382603715454,PAr
23,PR1,21748.489521049905,EC
24,PR1,16297.000532592916,EL
25,PR1,16867.96360227432,LA
26,PR1,16865.36630623876,RP2
27,PR1,16365.721565116271,RP1
28,PR1,16956.78126920053,EA
29,PR1,17747.937877765147,SF1
30,PR1,16896.13890263137,BI
31,PR1,15840.35253745439,KA
32,PR1,15894.489730467243,CF
33,PR1,16353.02816357749,PAg2
34,PR1,15374.457373035577,PAg1
35,PR1,16586.17154457984,PAl
36,PR1,16081.98966482459,PAg3
37,PR1,13218.330684475051,PH
38,PR1,11763.985233405096,PK
39,PR1,11984.896607345005,PP
40,PAr,8677.309044065103,PR2
41,PAr,6393.382603715454,PR1
42,PAr,0.0,PAr
43,PAr,24686.975461447233,EC
44,PAr,12092.987183640282,EL
45,PAr,12616.462346787188,LA
46,PAr,12654.277174014935,RP2
47,PAr,12263.134979153072,RP1
48,PAr,12662.283044582111,EA
49,PAr,13369.988718870107,SF1
50,PAr,12641.63088828872,BI
51,PAr,11825.957281323552,KA
52,PAr,11783.832675117263,CF
53,PAr,11984.563676059433,PAg2
54,PAr,11517.316285299188,PAg1
55,PAr,12325.771549130559,PAl
56,PAr,11995.673671796376,PAg3
57,PAr,11219.804069447551,PH
58,PAr,12570.270651479004,PK
59,PAr,8695.764951927276,PP
60,EC,26391.480054972326,PR2
61,EC,21748.489521049905,PR1
62,EC,24686.975461447233,PAr
63,EC,0.0,EC
64,EC,28049.43454178084,EL
65,EC,28481.810215580233,LA
66,EC,28048.304712359903,RP2
67,EC,27399.32923808241,RP1
68,EC,28716.2170295667,EA
69,EC,29186.17371778387,SF1
70,EC,28079.36712918617,BI
71,EC,26484.046681221025,KA
72,EC,26589.381441385372,CF
73,EC,28366.15546918186,PAg2
74,EC,27182.274436840555,PAg1
75,EC,28022.77603543453,PAl
76,EC,27938.42140501459,PAg3
77,EC,28891.76567557784,PH
78,EC,24438.817547489005,PK
79,EC,29078.830255045876,PP
80,EL,14936.913514187177,PR2
81,EL,16297.000532592916,PR1
82,EL,12092.987183640282,PAr
83,EL,28049.43454178084,EC
84,EL,0.0,EL
85,EL,1180.3500233222178,LA
86,EL,1254.4327355890598,RP2
87,EL,1441.9377417255032,RP1
88,EL,1974.8079154157456,EA
89,EL,2075.279829644963,SF1
90,EL,1460.2985986379354,BI
91,EL,2505.753500754164,KA
92,EL,2608.7978003550766,CF
93,EL,2002.709232291064,PAg2
94,EL,2770.8588537398027,PAg1
95,EL,1781.2160463731473,PAl
96,EL,1897.8022124789302,PAg3
97,EL,17574.575491225918,PH
98,EL,18733.547715895198,PK
99,EL,11309.01193525339,PP
100,LA,15270.882865764699,PR2
101,LA,16867.96360227432,PR1
102,LA,12616.462346787188,PAr
103,LA,28481.810215580233,EC
104,LA,1180.3500233222178,EL
105,LA,0.0,LA
106,LA,1343.8157521889746,RP2
