carbon,BI,CF,EA,EC,EL,KA,LA,PAg1,PAg2,PAg3,PAl,PAr,PH,PK,PP,PR1,PR2,RP1,RP2,SF1
ArabinoseD,-6.838340429,-1.925921568,-6.523152222,13.082301,4.188936172,7.211398703,5.215996474,0.996727968,126.978597,4.516500578,-1.375434693,14.36448277,40.66023388,20.86980932,-14.18697882,-3.593920737,-3.114093755,4.682713362,24.55405103,-20.91842935
ArabinoseL,678.1262155,1534.58107,10.33306645,13685.07104,653.2726996,1350.362573,570.599462,685.5277092,432.1061677,344.5611369,757.6725884,3885.977679,34.28603652,6884.171976,12.86439693,6057.136058,4388.366419,846.008848,515.9039569,307.9501966
Xylose,806.4265921,1304.696793,-6.24441127,2611.395172,881.0785403,1361.967525,554.3643898,693.9718437,302.427343,209.5249105,786.2151954,330.7730954,6.549220405,6247.327629,25.02012647,185.0442172,-12.81518596,852.2209742,735.3613527,313.6250123
Ribose,741.1538187,782.4854092,603.4539941,646.0010244,789.5538124,1254.338912,661.2274216,921.4839883,758.3648226,535.830633,361.0402629,347.9509152,1045.164431,5155.571338,220.3823846,975.6769443,59.45604233,735.5580839,586.1565903,326.2710484
Rhamnose,405.1937274,664.1993232,7.220657899,658.9221406,401.6829929,642.8625008,528.6002891,1029.934207,548.7011544,786.7023848,65.77048475,26.08426131,49.39652266,19.34071801,9.452371817,38.58599781,-19.2130302,787.9436859,595.3152729,64.16430139
Fructose,696.5541161,1011.491808,521.7964586,9402.305984,641.4278872,1052.438482,568.0747522,1025.48989,563.4959264,743.3401758,632.5793656,2451.642069,1172.411235,4369.451626,3308.016063,4403.619744,2335.527663,812.74726,608.5594673,270.5590967
Galactose,826.8287033,1077.720206,661.7603177,10649.03996,985.0814981,1071.745313,701.3263302,909.1049194,191.944575,790.3790362,106.3520778,2455.474461,2488.327688,5162.716981,23.2790355,4680.790455,647.3051348,809.6196694,599.2596335,327.3903517
Glucose,19.35726058,735.1202855,333.7693989,7597.402471,546.7639875,944.2526974,433.7442454,767.9964304,478.1243025,585.6809618,652.6405054,2780.897738,5797.422475,6356.45622,118.4774882,3969.228556,3896.247217,633.6833395,493.984926,173.9363797
Glucose01,36.4523085,42.66451088,16.17833035,350.7355648,47.16207968,59.74637937,53.82099056,80.14782651,47.33732914,70.99460606,26.87354015,844.5677316,1127.61142,853.7567848,722.824972,1052.130112,721.8115055,48.60607778,64.6330033,8.806463249
Mannose,801.7924074,1175.764767,422.9844663,8897.253646,722.0398761,1211.532302,692.0453706,1281.82275,1221.121901,1111.261066,574.7280224,1114.273851,1789.717688,1264.548027,970.1252944,1580.343342,1153.577066,800.3162395,587.4929102,297.5942626
GlcNAc,720.7067324,1057.585394,646.96556,5913.418085,482.4285663,861.7847563,385.9191478,1504.710911,1005.075383,1051.191814,107.0617886,1657.437212,5022.776251,76.69164428,0.458451019,1374.379964,4488.518902,879.8551856,729.7339224,306.4418272
Acetate,16.32781934,48.77976749,23.45542005,43.7176934,328.8236062,99.88139205,79.29893934,16.69558915,-7.310689034,14.37661331,60.97607188,1387.850748,2304.858233,2433.858754,1852.246452,2329.789938,1801.857832,374.4763141,231.7593759,6.707752491
Pyruvate,451.2014871,635.6093354,75.28887083,2920.933356,398.835495,556.4627875,429.6173254,1123.308469,995.5846006,651.1091541,341.6227055,2546.082835,4493.540733,5656.948072,3762.882709,3770.414117,2739.307686,476.5466571,424.0324949,218.7235193
Pyruvate01,55.14055973,45.34091897,43.2300015,272.9030303,50.67584716,59.19811424,57.46368739,121.5428205,136.6940099,88.63189631,64.00746889,684.5834883,1050.855372,955.7720498,428.2006,457.8032779,522.8640805,49.49144114,50.40065632,22.65085845
Fumarate,40.28343252,5.761601496,203.4867816,37.089502,273.9181433,7.905703323,73.85494465,383.713474,453.2894476,351.677819,195.5627765,2022.973976,3417.948042,3147.63552,3521.243543,2981.636334,2174.080191,3.573760358,14.725137,-6.030823688
Succinate,-1.114560008,-9.087702129,248.5304138,155.6762744,580.4935094,0.656034513,36.72364084,623.8148948,473.1468787,455.9295555,415.3804944,2621.511459,3658.76544,3739.399274,2796.985423,3249.356551,2459.959276,19.86203445,12.1668241,5.335451804
Citrate,128.9744481,316.7517097,214.9885724,5.1982751,377.1479789,343.7850808,301.5365524,466.2263761,-9.039451639,306.9547127,316.5171358,2028.86204,3343.052133,2643.062334,2275.375226,2584.595404,1789.291266,355.0048138,258.6019095,70.02789612
Glycerol,225.0470601,197.9814922,1061.270079,8168.607955,654.3671503,340.0695499,404.1172587,1716.602193,569.8125853,1276.430822,762.0129628,3142.924687,2748.279,3302.003527,4871.217675,6832.956404,3875.065866,758.152964,705.0461194,180.1617998
Glycerol01,81.06792322,144.9004534,47.51584421,669.3071679,107.3344209,103.8394943,88.22402737,86.44860187,74.37183853,107.9618208,83.07538331,1136.399779,1662.048267,1257.409652,1108.431499,1492.444008,944.093458,89.86482397,75.86544818,48.9688589
Mannitol,608.9108701,554.4089086,262.5443409,6398.524162,533.2065005,1071.940617,483.3238514,1266.185142,609.3090913,825.1312568,397.7951717,2428.449839,4762.776837,5305.910578,-8.371135971,4053.211716,-19.86105728,894.9356787,431.2775538,228.4097699
Sorbitol,775.8731874,1034.086441,4.347509532,7206.009737,607.0228445,1274.582509,18.25263117,9.798746427,-0.263921939,35.49741676,815.0345006,3073.429166,114.2533699,76.55161216,18.0930062,3902.212503,9.072296903,802.496698,583.5759885,308.0020668
Alanine,717.5358541,975.3813272,160.6056997,1090.329751,565.2870821,722.5939683,667.5325679,1038.708258,335.2666953,933.691053,381.887542,2869.123378,4975.614133,3328.220686,3907.994806,3232.984208,2610.039632,915.3361826,558.8861668,158.4080355
Serine,12.4538987,174.7308683,18.90839453,21.59621,40.42155226,79.26886487,49.04281062,6.703918945,6.011328387,79.13053284,40.33704753,2321.520111,4230.216719,-8.222807829,1818.020536,1948.000053,1126.62684,17.84758858,11.4799524,0.177735065
Proline,150.2000187,88.42736712,766.5436088,31.1383256,404.2903799,217.1583562,24.510709,343.3243065,947.9888487,195.0013551,276.2022061,6525.579075,6656.173457,7612.040343,3430.517177,6122.05009,6722.638645,72.1922609,77.28176101,5.756616418
Proline01,93.71300277,146.8952618,46.98386015,11.7544599,116.6291644,125.9154712,38.87388146,141.2610113,96.36706302,120.2425001,25.43510659,1069.383098,1388.259819,1143.234254,664.1956809,1045.439804,766.9017847,103.9126992,105.1178194,7.400157921
Glutamine,85.73275777,1528.564294,342.5502968,29.1177429,568.0429008,779.2361726,882.0955115,1101.221611,1077.74375,1141.217173,407.040772,3466.187585,4256.261655,3842.54987,2832.668219,4344.536128,4132.829567,143.0300171,56.80834392,10.27559059
Arginine,-3.5631535,-2.536472294,-3.128102549,9.65912845,14.2141903,8.432935012,13.29278431,-2.967629596,-9.806848215,25.83393484,5.38549103,3210.236826,2744.530668,3002.772481,3233.227213,2416.207195,3303.603274,51.93133941,16.99982184,1.222675404
Trehalose,658.8566622,999.1380042,394.5630316,5085.966604,521.3341387,1151.2809,508.2381873,1143.862881,843.1642308,740.2552927,814.96808,2814.152393,-39.60908948,-1.762616153,-17.41897963,4153.615196,6197.522364,629.5023384,642.0726862,246.3390691
Cellobiose,705.481161,860.8079015,520.4307371,4.8256108,516.1995089,1325.119882,560.527415,1665.524017,28.16259946,1170.696581,843.6675361,35.74559521,29.49238677,8.890585419,-1.598648706,34.26278897,-6.00324666,785.3273966,755.0981248,-6.816551733
Maltose,689.848118,1006.326765,243.4806525,485.7481331,677.395047,1034.48095,622.4560099,806.4593457,586.1071801,522.1737771,-11.98514314,10.06256525,17.21789069,-22.86760913,2.081712479,21.6294117,-26.36691314,686.4081349,557.0670511,275.7211868
Sucrose,11.10427983,-4.385189411,4.259834762,8.7570777,544.0546152,7.640754557,423.5670679,1075.625678,855.1889566,698.0951736,861.4740632,-11.51993692,5971.931792,-15.55328773,23.81916197,17.02002095,5648.829121,814.0146109,701.8636408,-14.55774654
Sucrose01,-3.943373998,-7.157205362,-11.63479763,5.9762927,39.24654704,-5.818204388,50.39876506,73.57724061,50.64571392,76.56159125,23.47452444,16.28203715,1010.499432,7.111947076,7.238739704,4.610364084,393.9186361,57.7959737,52.6203866,-9.916055176
Lactose,244.2802774,1361.001534,379.8898536,11266.43325,24.46639909,1164.784456,45.90388791,-3.41981826,-5.627533457,13.48396173,777.3192556,9.501842966,6.36382959,-9.222377746,-12.09726515,-5.298528338,-25.70328937,705.7641461,561.6935297,-1.143733804
Raffinose,4.478826434,4.499490694,-2.600682825,12.3728844,514.0158805,5.27961153,616.9976507,-0.536134025,-11.30222919,-8.378479844,125.1193892,0.87394022,4.054957783,0.969646653,5.5793717,-30.89456107,-26.17210574,675.4912397,405.8397881,262.325364
Melezitose,-1.927716935,8.151380171,2.256209672,3.43455535,11.58423869,4.225696083,19.98372783,-4.452316027,-6.575635734,10.0023732,1.265305039,7.400407699,14.19297059,-3.415649221,9.882299669,0.309450161,-20.62845842,7.176446456,11.47001747,2.334641764
Arabinogalactan,11.89230869,12.20133369,9.484049303,65.4913873,30.02015896,22.60926309,48.2560962,6.143840553,11.06005271,24.65192185,5.98082214,263.821554,161.3496437,446.1190205,89.65996399,250.3537682,200.3016167,10.95962253,32.64506955,-7.36165612
Isoleucine,-12.40690643,-8.448159848,-5.384474605,3.2700765,0.393566165,-8.803969839,14.617636,-6.700279365,-9.821734235,8.128067047,0.539442498,3093.254464,5205.020428,72.55145082,4481.996122,3303.417809,3336.254591,2.468513095,8.474650701,-14.39456023
Uridine,213.9047597,116.8676206,109.3411522,435.7633319,127.0339283,308.2322939,62.01330523,43.96733511,0.467748373,42.21050896,28.87741659,221.2794326,-3.895144264,1907.344931,287.5296861,854.7250762,67.79619576,56.54926786,18.0392115,48.82965061
Mix,381.2486871,730.260376,221.2411372,3085.050386,416.6610373,704.0428984,578.522223,863.321746,571.556698,528.933615,792.7081672,2845.257716,5127.250098,5416.447126,2440.405263,2697.400017,3272.044939,528.8901019,435.3640565,284.0711776
Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
