,labeledStrain,env,monoGrow
0,PP,ArabinoseD,-14.18697882033689
1,PP,ArabinoseL,12.864396933565216
2,PP,Xylose,25.020126467317027
3,PP,Ribose,220.38238458526337
4,PP,Rhamnose,9.452371816989398
5,PP,Fructose,3308.0160627936543
6,PP,Galactose,23.27903549820041
7,PP,Glucose,118.47748819711283
8,PP,Glucose01,722.8249719790728
9,PP,Mannose,970.125294354883
10,PP,GlcNAc,0.4584510188440163
11,PP,Acetate,1852.246452318383
12,PP,Pyruvate,3762.882709352452
13,PP,Pyruvate01,428.2005999568937
14,PP,Fumarate,3521.243542507065
15,PP,Succinate,2796.9854230384635
16,PP,Citrate,2275.375225697052
17,PP,Glycerol,4871.217675445219
18,PP,Glycerol01,1108.431498700906
19,PP,Mannitol,-8.371135971197987
20,PP,Sorbitol,18.093006201424487
21,PP,Alanine,3907.994806237483
22,PP,Serine,1818.020536024973
23,PP,Proline,3430.517177415398
24,PP,Proline01,664.1956809215621
25,PP,Glutamine,2832.6682190759398
26,PP,Arginine,3233.227213303305
27,PP,Trehalose,-17.41897963297231
28,PP,Cellobiose,-1.5986487061402386
29,PP,Maltose,2.0817124786888144
30,PP,Sucrose,23.819161967384844
31,PP,Sucrose01,7.2387397040826045
32,PP,Lactose,-12.097265145158415
33,PP,Raffinose,5.579371699680905
34,PP,Melezitose,9.882299668522592
35,PP,Arabinogalactan,89.65996398573554
36,PP,Isoleucine,4481.996122024342
37,PP,Uridine,287.52968608563936
38,PP,Mix,2440.405263421097
39,PP,Water,0.0
40,SF1,ArabinoseD,-20.918429349736016
41,SF1,ArabinoseL,307.9501966003477
42,SF1,Xylose,313.6250122903249
43,SF1,Ribose,326.2710484443645
44,SF1,Rhamnose,64.16430138523936
45,SF1,Fructose,270.5590966737334
46,SF1,Galactose,327.39035168474504
47,SF1,Glucose,173.93637967759628
48,SF1,Glucose01,8.806463249319222
49,SF1,Mannose,297.59426255338053
50,SF1,GlcNAc,306.44182718219406
51,SF1,Acetate,6.707752490821349
52,SF1,Pyruvate,218.72351929398428
53,SF1,Pyruvate01,22.65085844536748
54,SF1,Fumarate,-6.030823688182068
55,SF1,Succinate,5.33545180359647
56,SF1,Citrate,70.0278961169538
57,SF1,Glycerol,180.16179976123735
58,SF1,Glycerol01,48.9688589026199
59,SF1,Mannitol,228.40976985192535
60,SF1,Sorbitol,308.0020668185467
61,SF1,Alanine,158.4080355146914
62,SF1,Serine,0.1777350650966127
63,SF1,Proline,5.756616417647479
64,SF1,Proline01,7.40015792104964
65,SF1,Glutamine,10.27559059216378
66,SF1,Arginine,1.2226754035416434
67,SF1,Trehalose,246.3390690823693
68,SF1,Cellobiose,-6.816551732712469
69,SF1,Maltose,275.72118679452524
70,SF1,Sucrose,-14.55774653818412
71,SF1,Sucrose01,-9.916055175786028
72,SF1,Lactose,-1.143733803747068
73,SF1,Raffinose,262.3253639987404
74,SF1,Melezitose,2.334641764354956
75,SF1,Arabinogalactan,-7.361656119616782
76,SF1,Isoleucine,-14.394560231024345
77,SF1,Uridine,48.829650606812834
78,SF1,Mix,284.07117764051225
79,SF1,Water,0.0
80,EC,ArabinoseD,13.08230100000003
81,EC,ArabinoseL,13685.0710433
82,EC,Xylose,2611.395172
83,EC,Ribose,646.0010244499999
84,EC,Rhamnose,658.92214055
85,EC,Fructose,9402.30598415
86,EC,Galactose,10649.0399589
87,EC,Glucose,7597.4024708
88,EC,Glucose01,350.7355648
89,EC,Mannose,8897.253646
90,EC,GlcNAc,5913.4180849
91,EC,Acetate,43.71769340000003
92,EC,Pyruvate,2920.9333561000003
93,EC,Pyruvate01,272.90303030000007
94,EC,Fumarate,37.08950200000004
95,EC,Succinate,155.6762744
96,EC,Citrate,5.1982750999999325
