,labeledStrain,env,monoGrow24
0,BI,ArabinoseD,-44.43148630447115
1,BI,ArabinoseL,70.22354925915896
2,BI,Xylose,41.32327663982721
3,BI,Ribose,169.19014244513173
4,BI,Rhamnose,-2.467726539657292
5,BI,Fructose,229.35302951498372
6,BI,Galactose,34.667778002377425
7,BI,Glucose,-40.254488437962436
8,BI,Glucose01,-1.6947592604993815
9,BI,Mannose,332.13027578756567
10,BI,GlcNAc,134.66185141223525
11,BI,Acetate,-42.928978291146336
12,BI,Pyruvate,-13.027664422831664
13,BI,Pyruvate01,-34.15937573961355
14,BI,Fumarate,-50.28205252740885
15,BI,Succinate,-46.25036565765528
16,BI,Citrate,-19.67590207139881
17,BI,Glycerol,149.26565850131863
18,BI,Glycerol01,-2.2812403237628587
19,BI,Mannitol,290.97650950482694
20,BI,Sorbitol,284.41233552818886
21,BI,Alanine,-34.7826426627247
22,BI,Serine,-47.372664396509656
23,BI,Proline,-38.58526980872648
24,BI,Proline01,-37.29324757405106
25,BI,Glutamine,-48.00755348376299
26,BI,Arginine,-42.97399144200779
27,BI,Trehalose,214.10024914765683
28,BI,Cellobiose,148.12174466123702
29,BI,Maltose,5.309813984579819
30,BI,Sucrose,-42.08341770123661
31,BI,Sucrose01,-50.67723232702849
32,BI,Lactose,-44.9356758814796
33,BI,Raffinose,-47.088707722827166
34,BI,Melezitose,-55.679614005932315
35,BI,Arabinogalactan,-36.76705055180901
36,BI,Isoleucine,-45.86325900965301
37,BI,Uridine,-47.89526760968113
38,BI,Mix,163.58163463444453
39,BI,Water,-44.291171190708496
40,CF,ArabinoseD,-47.05443975156516
41,CF,ArabinoseL,39.29753178447322
42,CF,Xylose,46.56944950121067
43,CF,Ribose,115.59161451899557
44,CF,Rhamnose,1.6834373850417703
45,CF,Fructose,322.4236152050321
46,CF,Galactose,43.63823827449505
47,CF,Glucose,269.0318990979248
48,CF,Glucose01,0.234592148634988
49,CF,Mannose,409.7527839192141
50,CF,GlcNAc,264.4793611298202
51,CF,Acetate,-38.940435200575045
52,CF,Pyruvate,-13.851767228899233
53,CF,Pyruvate01,-18.559137821021864
54,CF,Fumarate,-43.83158487691936
55,CF,Succinate,-43.153664409432174
56,CF,Citrate,-34.056905428195144
57,CF,Glycerol,100.55437493748629
58,CF,Glycerol01,27.87531542504928
59,CF,Mannitol,368.68249463795263
60,CF,Sorbitol,313.20359639326955
61,CF,Alanine,-33.824096157596266
62,CF,Serine,-35.64782420336519
63,CF,Proline,-35.732065676989244
64,CF,Proline01,-33.44937320665906
65,CF,Glutamine,-24.51676991528939
66,CF,Arginine,-48.84652920858185
67,CF,Trehalose,314.76768203110265
68,CF,Cellobiose,159.89686211725177
69,CF,Maltose,-18.65649538836044
70,CF,Sucrose,-41.69380190202367
71,CF,Sucrose01,-45.32056997207553
72,CF,Lactose,-36.18178028468708
73,CF,Raffinose,-44.51413669393242
74,CF,Melezitose,-38.76692439870942
75,CF,Arabinogalactan,-34.3151824618991
76,CF,Isoleucine,-48.59660526076016
77,CF,Uridine,-39.7785719682264
78,CF,Mix,371.919779211575
79,CF,Water,-44.562637775678475
80,EA,ArabinoseD,-26.813061544874014
81,EA,ArabinoseL,-15.626032062449895
82,EA,Xylose,-20.97016161641659
83,EA,Ribose,214.40727774640868
84,EA,Rhamnose,-20.39353217726295
85,EA,Fructose,229.82351169736182
86,EA,Galactose,27.075385806476106
87,EA,Glucose,179.9947507555985
88,EA,Glucose01,10.889073635025058
89,EA,Mannose,193.28217252356757
90,EA,GlcNAc,221.56491417954373
91,EA,Acetate,-19.572939585488147
92,EA,Pyruvate,-15.732566756592972
93,EA,Pyruvate01,-30.675617777013144
94,EA,Fumarate,35.522888124037316
95,EA,Succinate,-7.711269312079253
96,EA,Citrate,-10.731612205871102
97,EA,Glycerol,182.01385299517142
98,EA,Glycerol01,24.271944832990016
99,EA,Mannitol,290.35943889904235
100,EA,Sorbitol,-17.368627435639382
101,EA,Alanine,-22.810124067727088
102,EA,Serine,-20.506946243523547
103,EA,Proline,-21.415950658676934
104,EA,Proline01,-22.597755092809855
105,EA,Glutamine,-17.682113639137587
106,EA,Arginine,-24.107079076948818
107,EA,Trehalose,215.3112392131593
108,EA,Cellobiose,93.45911573757904
109,EA,Maltose,-19.476156699669676
110,EA,Sucrose,-23.80935853761764
111,EA,Sucrose01,-28.233763980893517
112,EA,Lactose,-15.595426802458976
113,EA,Raffinose,-20.233022953789032
114,EA,Melezitose,-20.81505598560364
115,EA,Arabinogalactan,-17.873351386902183
116,EA,Isoleucine,-30.552676518643466
117,EA,Uridine,-23.411125850281447
118,EA,Mix,140.22486381555996
119,EA,Water,-23.069780302491488
120,EC,ArabinoseD,-37.31903449999993
121,EC,ArabinoseL,182.2864551
122,EC,Xylose,-33.03590010000005
123,EC,Ribose,-38.23684370000001
124,EC,Rhamnose,-29.882237000000032
125,EC,Fructose,208.80668434999995
126,EC,Galactose,90.02984759999994
127,EC,Glucose,331.7519358
128,EC,Glucose01,336.03931879999993
129,EC,Mannose,191.24125450000008
130,EC,GlcNAc,272.51966425000006
131,EC,Acetate,-41.6212352
132,EC,Pyruvate,15.250733050000123
133,EC,Pyruvate01,6.191051749999929
134,EC,Fumarate,-44.50885220000009
135,EC,Succinate,-38.9156488000001
136,EC,Citrate,-40.519400799999964
137,EC,Glycerol,66.89270390000001
138,EC,Glycerol01,53.93799890000002
139,EC,Mannitol,205.64212815
140,EC,Sorbitol,139.46919309999998
141,EC,Alanine,11.991834199999973
142,EC,Serine,-32.61885225000003
143,EC,Proline,-32.165528800000054
144,EC,Proline01,-36.01669540000012
145,EC,Glutamine,-32.6754337000001
146,EC,Arginine,-38.806667899999866
147,EC,Trehalose,29.467511100000024
148,EC,Cellobiose,-42.53555080000001
149,EC,Maltose,-40.85159475
150,EC,Sucrose,-41.90109634999988
151,EC,Sucrose01,-47.509264400000006
152,EC,Lactose,144.8123128000001
153,EC,Raffinose,-41.7668521500001
154,EC,Melezitose,-47.19521069999996
155,EC,Arabinogalactan,44.233003000000046
156,EC,Isoleucine,-43.809217749999895
157,EC,Uridine,-2.9791029000000435
158,EC,Mix,924.20801205
159,EC,Water,-46.09799520000002
160,EL,ArabinoseD,-36.02486770101155
161,EL,ArabinoseL,704.4396270383759
162,EL,Xylose,386.01790269421167
163,EL,Ribose,614.4203001669774
164,EL,Rhamnose,150.3875407588719
165,EL,Fructose,540.1369802421303
166,EL,Galactose,108.19933947580715
167,EL,Glucose,580.9075339056377
168,EL,Glucose01,6.334410286751107
169,EL,Mannose,676.3297083618897
170,EL,GlcNAc,312.5175588314909
171,EL,Acetate,-16.594884980789743
172,EL,Pyruvate,292.6249086778794
173,EL,Pyruvate01,7.0185061596079095
174,EL,Fumarate,-30.252725626002075
175,EL,Succinate,-29.29697655430482
176,EL,Citrate,-35.00289965582408
177,EL,Glycerol,533.6221096616518
178,EL,Glycerol01,75.51539640773706
179,EL,Mannitol,568.7628867806021
180,EL,Sorbitol,495.4906270399614
181,EL,Alanine,183.67618553946454
182,EL,Serine,-23.513018279739644
183,EL,Proline,-6.848955821622669
184,EL,Proline01,-31.07946292007955
185,EL,Glutamine,115.64567354332632
186,EL,Arginine,-36.135358374172256
187,EL,Trehalose,485.59279255875384
188,EL,Cellobiose,492.02853993894325
189,EL,Maltose,579.6496763149996
190,EL,Sucrose,515.6661745261067
191,EL,Sucrose01,2.03028570120955
192,EL,Lactose,-38.66052398919646
193,EL,Raffinose,527.5356830416883
194,EL,Melezitose,-34.40245467024374
195,EL,Arabinogalactan,-15.920795392183775
196,EL,Isoleucine,-37.13274993142704
197,EL,Uridine,-22.533192664063908
198,EL,Mix,383.03367560895
199,EL,Water,-38.29916869141039
200,KA,ArabinoseD,-4.072420365351036
201,KA,ArabinoseL,186.6644960721636
202,KA,Xylose,273.37018603081606
203,KA,Ribose,342.92500504430933
204,KA,Rhamnose,93.611139641882
205,KA,Fructose,312.6339047161748
206,KA,Galactose,120.62473542830128
207,KA,Glucose,484.113575955271
208,KA,Glucose01,22.9793853032977
209,KA,Mannose,555.9233007348719
210,KA,GlcNAc,413.4660153999441
211,KA,Acetate,-15.98388178336188
212,KA,Pyruvate,114.39200622729209
213,KA,Pyruvate01,23.07127329825346
214,KA,Fumarate,-11.278201180219979
215,KA,Succinate,-17.22265880334885
216,KA,Citrate,-10.102574601559468
217,KA,Glycerol,153.70584973317625
218,KA,Glycerol01,45.412652317816544
219,KA,Mannitol,353.6643327611623
220,KA,Sorbitol,447.4187370145928
221,KA,Alanine,5.699772818087696
222,KA,Serine,-12.096226462202706
223,KA,Proline,0.6749432915306669
224,KA,Proline01,3.6677290632875374
225,KA,Glutamine,-14.042082931815456
226,KA,Arginine,-11.024391081301019
227,KA,Trehalose,365.4714378056658
228,KA,Cellobiose,423.42642898816575
229,KA,Maltose,75.17305717424746
230,KA,Sucrose,-3.8214280465731454
231,KA,Sucrose01,-18.018049204304475
232,KA,Lactose,-7.973029383972971
233,KA,Raffinose,-5.799615943692062
234,KA,Melezitose,-8.387609580039339
235,KA,Arabinogalactan,0.08163600423813477
236,KA,Isoleucine,-15.682324353031051
237,KA,Uridine,13.29749346463086
238,KA,Mix,429.518122271091
239,KA,Water,-10.559460594607684
240,LA,ArabinoseD,-5.1875928685695945
241,LA,ArabinoseL,249.0547463006045
242,LA,Xylose,146.21555409488087
243,LA,Ribose,180.3068294943712
244,LA,Rhamnose,48.67671188792485
245,LA,Fructose,183.87906903451983
246,LA,Galactose,89.33411715837211
247,LA,Glucose,254.75183658672813
248,LA,Glucose01,25.050508590223217
249,LA,Mannose,310.545805260138
250,LA,GlcNAc,254.6278374633437
251,LA,Acetate,-8.179287724208619
252,LA,Pyruvate,38.02554719469879
253,LA,Pyruvate01,9.299531737767893
254,LA,Fumarate,8.83506790000672
255,LA,Succinate,5.299866148688125
256,LA,Citrate,-1.4299534881993168
257,LA,Glycerol,163.80904808026537
258,LA,Glycerol01,47.82076046952716
259,LA,Mannitol,274.6563961605582
260,LA,Sorbitol,14.367061365652148
261,LA,Alanine,27.69778230449799
262,LA,Serine,19.687265807041285
263,LA,Proline,-0.958919117356004
264,LA,Proline01,23.3470809107871
265,LA,Glutamine,11.117489916578505
266,LA,Arginine,-3.0839056189927305
267,LA,Trehalose,247.0880665296149
268,LA,Cellobiose,263.66433611798686
269,LA,Maltose,29.791431184547942
270,LA,Sucrose,193.79305105293804
271,LA,Sucrose01,15.164745673821473
272,LA,Lactose,11.559613178090556
273,LA,Raffinose,195.92925889526816
274,LA,Melezitose,13.560059051202073
275,LA,Arabinogalactan,29.04943988722061
