,Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
0,PAl,BI,Acetate,1.975812395,0.0,55.98748073,1913.567957,17.78568972,-29.10466017871772,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5643511278633632,-0.250667083381068,-0.7807537139600523,0.0380225394363147
1,PAg1,BI,Acetate,0.0,0.0,15.02481971,3147.001451,17.78568972,-57.56457651623623,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6443154712889336,-0.2220118218825399,-0.7807537139600523,0.0380225394363147
2,PAg3,BI,Acetate,1.129036587,0.0,24.22620584,2250.27532,17.78568972,6.493217606349957,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5989515583467925,-0.2484610553238693,-0.7807537139600523,0.0380225394363147
3,LA,BI,Acetate,1.206140208,-0.058858454,76.19412972,1558.156974,17.78568972,-8.179287724208619,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7710003090347234,0.0770753917642925,-0.7807537139600523,0.0380225394363147
4,EL,BI,Acetate,0.0,-0.353775541,337.8699023,1468.161998,17.78568972,-16.594884980789743,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7347306548489613,-0.0440939376470185,-0.7807537139600523,0.0380225394363147
5,RP2,BI,Acetate,1.60502448,-0.361417454,224.9884616,1274.718934,17.78568972,18.57815977595305,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7928518257374005,0.1173580381058817,-0.7807537139600523,0.0380225394363147
6,RP1,BI,Acetate,1.545156292,-0.176054631,374.4295474,1590.781117,17.78568972,-44.06677434238349,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.796280534436652,0.1132262738115668,-0.7807537139600523,0.0380225394363147
7,SF1,BI,Acetate,1.370369193,0.848352937,7.755480413,1824.987984,17.78568972,-17.622735918709964,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7354472493977712,0.2471410927598533,-0.7807537139600523,0.0380225394363147
8,BI,BI,Acetate,0.047744567,0.047744567,17.78568972,0.0,17.78568972,-42.928978291146336,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7807537139600523,0.0380225394363147,-0.7807537139600523,0.0380225394363147
9,KA,BI,Acetate,0.0,-0.033183245,86.05120162,2195.825867,17.78568972,-15.98388178336188,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7612583622572914,0.0598887978357191,-0.7807537139600523,0.0380225394363147
10,CF,BI,Acetate,0.828841824,0.0,48.77976749,2391.308377,17.78568972,-38.940435200575045,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7747391645761742,0.0463737318058709,-0.7807537139600523,0.0380225394363147
11,EC,BI,Acetate,1.355093912,3.216960884,43.7176934,28069.48199,17.78568972,-41.6212352,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6435193071495694,-0.04782846145587,-0.7807537139600523,0.0380225394363147
12,EA,BI,Acetate,1.607581025,-0.02934184,32.21086994,2084.359726,17.78568972,-19.572939585488147,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7286059140580324,0.2582533144674926,-0.7807537139600523,0.0380225394363147
13,PK,BI,Acetate,0.0,-0.403332389,2399.145788,19353.87779,17.78568972,-72.42289436203862,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.734465090778677,0.0343645341896359,-0.7807537139600523,0.0380225394363147
14,PR1,BI,Acetate,3.401265982,-0.06050446,2327.338169,16613.15175,17.78568972,-74.89519611220658,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.62148647467857,-0.002116133365859,-0.7807537139600523,0.0380225394363147
15,PAr,BI,Acetate,0.620757363,0.095357713,1388.915272,12660.0197,17.78568972,-86.33187643657061,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.5779525775593926,-0.0142748062335358,-0.7807537139600523,0.0380225394363147
16,PR2,BI,Acetate,0.0,0.093658482,1795.25373,15333.62833,17.78568972,-150.55169427018336,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.6398755564620169,0.0056531287404293,-0.7807537139600523,0.0380225394363147
17,PH,BI,Acetate,2.957433409,-0.022817298,2146.296509,18306.29082,17.78568972,-98.5758698521746,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.675692322398025,0.0107785747182994,-0.7807537139600523,0.0380225394363147
