,Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
0,PAl,BI,Acetate,1.975812395,0.0,-0.8248470635781311,0.072983989572482,-0.8926908272496848,-0.9954667879672694,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.5643511278633632,-0.250667083381068,-0.7807537139600523,0.0380225394363147
1,PAg1,BI,Acetate,0.0,0.0,-1.02095851973172,0.1131048829482869,-0.8926908272496848,-0.7270225870030345,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.6443154712889336,-0.2220118218825399,-0.7807537139600523,0.0380225394363147
2,PAg3,BI,Acetate,1.129036587,0.0,-0.9957245235934602,0.0817504207987856,-0.8926908272496848,-0.8519734353416892,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.5989515583467925,-0.2484610553238693,-0.7807537139600523,0.0380225394363147
3,LA,BI,Acetate,1.206140208,-0.058858454,-0.8334093160545913,0.0556458565849667,-0.8926908272496848,-0.9409656669975056,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7710003090347234,0.0770753917642925,-0.7807537139600523,0.0380225394363147
4,EL,BI,Acetate,0.0,-0.353775541,-0.1802095671769625,0.0520061079695801,-0.8926908272496848,-0.9190431731237256,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7347306548489613,-0.0440939376470185,-0.7807537139600523,0.0380225394363147
5,RP2,BI,Acetate,1.60502448,-0.361417454,-0.364223031854013,0.0453936089112368,-0.8926908272496848,-0.9471238123156732,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7928518257374005,0.1173580381058817,-0.7807537139600523,0.0380225394363147
6,RP1,BI,Acetate,1.545156292,-0.176054631,-0.1613436653331016,0.0569786211420117,-0.8926908272496848,-0.960912491528936,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.796280534436652,0.1132262738115668,-0.7807537139600523,0.0380225394363147
7,SF1,BI,Acetate,1.370369193,0.848352937,-0.8324431111686151,0.0650646955240201,-0.8926908272496848,-0.8355071454228532,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7354472493977712,0.2471410927598533,-0.7807537139600523,0.0380225394363147
8,BI,BI,Acetate,0.047744567,0.047744567,-0.8926908272496848,0.0,-0.8926908272496848,-0.6506645306432338,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7807537139600523,0.0380225394363147,-0.7807537139600523,0.0380225394363147
9,KA,BI,Acetate,0.0,-0.033183245,-0.8428635637856636,0.0800311129603128,-0.8926908272496848,-0.7816346432097218,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7612583622572914,0.0598887978357191,-0.7807537139600523,0.0380225394363147
