Bug 1,Bug 2,Carbon,1 on 2: Effect,1 on 2: 25th Percentile,1 on 2: 75th Percentile,1 on 2: Replicates,2 on 1: Effect,2 on 1: 25th Percentile,2 on 1: 75th Percentile,2 on 1: Replicates,Class,Type,Strength
PAl,PAl,ArabinoseD,0,0,0,5,0,0,0,5,Neutralism,NaN,0
PAl,PAg2,ArabinoseD,0.39247379,-0.063408151,0.945052136,9,0,0,0,6,Neutralism,45,0.39247379
PAl,PAg1,ArabinoseD,NaN,NaN,NaN,1,0,0,0.120720942,6,Inconclusive,NaN,NaN
PAl,PAg3,ArabinoseD,0,0,0,6,0,0,0,8,Neutralism,NaN,0
PAl,LA,ArabinoseD,0.806290211,0.384894843,1.164122393,6,0,0,0,5,Commensalism,45,0.806290211
PAl,EL,ArabinoseD,0,0,0.407752046,10,0,0,0,8,Neutralism,NaN,0
PAl,RP2,ArabinoseD,NaN,NaN,NaN,1,0,0,0,12,Inconclusive,NaN,NaN
PAl,RP1,ArabinoseD,0,0,0,12,NaN,NaN,NaN,2,Inconclusive,NaN,NaN
PAl,SF1,ArabinoseD,0,0,0,13,0,0,0.288680586,9,Neutralism,NaN,0
PAl,BI,ArabinoseD,0,0,0,9,0,0,0,6,Neutralism,NaN,0
PAl,KA,ArabinoseD,NaN,NaN,NaN,2,0,0,0,16,Inconclusive,NaN,NaN
PAl,CF,ArabinoseD,0,0,0,13,0,0,0,4,Neutralism,NaN,0
PAl,EC,ArabinoseD,0,0,0,6,0,0,0,5,Neutralism,NaN,0
PAl,EA,ArabinoseD,0.272566042,0,0.360804581,9,0,0,0,7,Neutralism,45,0.272566042
PAl,PK,ArabinoseD,0,0,0,7,0,0,0,10,Neutralism,NaN,0
PAl,PR1,ArabinoseD,0,0,0,5,0,0,0.212028414,4,Neutralism,NaN,0
PAl,PAr,ArabinoseD,0,0,0,6,0,0,0,7,Neutralism,NaN,0
PAl,PR2,ArabinoseD,0,0,0,20,0,0,0,6,Neutralism,NaN,0
PAl,PH,ArabinoseD,NaN,NaN,NaN,2,0,0,0,8,Inconclusive,NaN,NaN
PAl,PP,ArabinoseD,0,0,0,8,0,0,0,3,Neutralism,NaN,0
PAg2,PAl,ArabinoseD,0,0,0,6,0.39247379,-0.063408151,0.945052136,9,Neutralism,45,0.39247379
PAg2,PAg2,ArabinoseD,-0.864321547,-1.234364119,-0.301359762,7,-0.864321547,-1.234364119,-0.301359762,7,Competition,-90,1.222335254
PAg2,PAg1,ArabinoseD,0,0,0,7,-0.152685221,-0.374606542,0.41909862,8,Neutralism,-45,0.152685221
PAg2,PAg3,ArabinoseD,0.700196539,0.059323902,1.142397028,4,-0.352347361,-0.829357077,0.189883124,10,Commensalism,18.28790689,0.783851935
PAg2,LA,ArabinoseD,0.97046538,0.740470311,1.895411741,6,-0.590360014,-1.010526523,-0.159135408,10,Parasitism,13.68673363,1.135926054
PAg2,EL,ArabinoseD,0.555210484,0,0.657081905,8,-2.3538771,-2.918099142,-1.838397147,6,Neutralism,-31.72818497,2.418469781
PAg2,RP2,ArabinoseD,NaN,NaN,NaN,2,-0.234546798,-0.603078568,0.26692976,15,Inconclusive,NaN,NaN
PAg2,RP1,ArabinoseD,NaN,NaN,NaN,2,0.199137428,-0.220511503,0.665382368,14,Inconclusive,NaN,NaN
PAg2,SF1,ArabinoseD,NaN,NaN,NaN,0,-1.312927946,-1.822951582,-0.851679983,6,Inconclusive,NaN,NaN
PAg2,BI,ArabinoseD,0.967681164,0.400615282,1.169768516,9,-0.390698291,-0.834791838,0.043895063,8,Commensalism,23.01375858,1.043576537
PAg2,KA,ArabinoseD,0.904254294,0.72315355,1.570490813,4,-0.622903868,-0.991755543,-0.174094031,11,Parasitism,10.43862989,1.09803691
PAg2,CF,ArabinoseD,0.045541509,0,0.325028002,4,-0.859059813,-1.160095943,-0.312309322,9,Neutralism,-41.9654081,0.860266116
PAg2,EC,ArabinoseD,NaN,NaN,NaN,1,-0.498423771,-0.942748632,-0.011123834,6,Inconclusive,NaN,NaN
PAg2,EA,ArabinoseD,0,0,1.295277068,3,-0.5467075,-1.212220078,-0.179175279,9,Amensalism,-45,0.5467075
PAg2,PK,ArabinoseD,0.250752632,0.125376316,0.580696785,3,-1.00017864,-1.871504612,-0.545119753,6,Parasitism,-30.92559199,1.031132481
PAg2,PR1,ArabinoseD,0,0,0,8,-1.868616591,-2.424463126,-1.486314337,8,Amensalism,-45,1.868616591
PAg2,PAr,ArabinoseD,0,0,0,4,-0.959869902,-1.372157531,-0.465420345,6,Amensalism,-45,0.959869902
PAg2,PR2,ArabinoseD,0,0,0,12,-2.404448616,-2.828657051,-1.93885265,10,Amensalism,-45,2.404448616
PAg2,PH,ArabinoseD,0,0,0,4,-2.38307387,-2.924039162,-2.007469329,10,Amensalism,-45,2.38307387
PAg2,PP,ArabinoseD,0,0,0,9,-0.660096676,-1.122472513,-0.21111794,7,Amensalism,-45,0.660096676
PAg1,PAl,ArabinoseD,0,0,0.120720942,6,NaN,NaN,NaN,1,Inconclusive,NaN,NaN
PAg1,PAg2,ArabinoseD,-0.152685221,-0.374606542,0.41909862,8,0,0,0,7,Neutralism,-45,0.152685221
PAg1,PAg1,ArabinoseD,0,0,0,4,0,0,0,4,Neutralism,NaN,0
PAg1,PAg3,ArabinoseD,0,0,0,8,0,0,0,7,Neutralism,NaN,0
PAg1,LA,ArabinoseD,0,0,0,5,0,0,0,4,Neutralism,NaN,0
PAg1,EL,ArabinoseD,0,0,0,9,0,0,0,5,Neutralism,NaN,0
