,y_train
11570,-0.773702333
9682,0.0
7582,3.749544458
14,-0.000757181
379,0.564624375
10822,0.0
13050,-1.89404902
13217,-0.921098889
14599,0.0
15422,0.0
1104,0.481395982
72,0.0
13947,-2.845198354
11403,0.0
812,0.405878466
5158,-4.808370371
632,-0.353158313
6443,-0.143138792
15443,0.0
1198,-3.110187455
6167,-0.733903091
7368,-1.077669608
3102,0.387135662
10254,2.246043821
12346,-0.356892228
13790,-1.210620047
15030,-0.063716506
10209,-1.831732874
12646,-0.415623792
6590,-0.354526945
7546,0.0
2767,0.0
10832,0.0
4214,-0.409156842
11232,1.770874941
1927,1.668099101
4843,-0.622719187
6753,0.263639913
11698,-0.017822233
8509,0.108571472
382,0.0
2570,1.531691046
14355,3.099675553
13908,-0.25970746
124,-0.961023393
11733,-0.838925573
11758,0.0
3833,3.305021514
12933,-2.307483666
15289,-0.62618662
1892,-0.073706412
5367,0.281260596
5040,-0.50490101
9846,-0.216990464
8881,0.095406689
4167,-0.289621429
14515,-2.1787346
15369,-0.334423222
5959,-1.170850569
1600,-1.057787707
14148,-1.113634094
11712,1.951182409
7972,-0.850855953
13507,-0.374201996
4389,-0.873826491
4945,0.0
9085,-3.099707219
4575,-0.279071717
381,2.211443524
13705,-0.452981263
12994,-0.926122696
13673,1.181406479
14417,-2.649255941
1765,-0.246900185
3403,0.182683713
10234,-1.261572868
9442,0.0
7450,-0.359993306
15235,1.233605708
635,-0.584731962
13953,-0.459253093
12454,-0.959869902
5680,0.0
2853,0.0
493,2.68481105
15042,2.307681457
8251,-1.378814439
1455,0.200303238
15095,-2.011004518
10504,0.0553953
13981,0.0
13306,0.0
4737,-1.740097952
6041,-0.833431228
9560,0.035970762
15127,-0.461701179
878,-1.037088556
742,3.30580582
6757,-0.180867265
15421,0.0
12984,1.714737688
6664,0.0
10665,0.857549908
10910,0.237334007
7071,1.746619509
5218,-0.639770223
3117,0.0
6402,0.009498146
7632,0.0
10675,0.0
8025,-1.012858945
15385,0.0
4365,-3.14300836
13370,1.057515326
12763,-0.893623585
7321,-0.37012123
11154,0.285960959
3798,2.958605392
9104,-0.662498868
6780,-0.253395956
14402,-0.676532066
15284,-0.312540884
14854,1.668923798
7721,-0.760894411
857,-0.439062364
580,-0.961335978
9146,0.0
4755,-1.16692971
3582,-4.996464774
9667,-1.100704602
7439,-1.41978607
5876,-1.47642334
9478,-0.127148736
2784,-2.074051779
78,-0.499136026
1330,2.018130544
11569,1.107521067
6935,-0.021791141
6556,-0.159919785
5105,-1.478684587
12394,2.850347434
175,-0.52953044
8273,-0.582726596
10213,0.0
5199,-0.481642112
12617,-1.030259895
7336,-0.592919417
2676,-0.500513667
1793,-0.426915768
5359,2.213167279
8457,0.0
8804,0.03617154
8731,0.152175312
12573,-0.796975673
8524,-0.138041635
8468,0.19128093
9043,0.0
9895,0.277050544
13169,-0.310067975
5867,-0.473080944
832,0.0
6879,-0.365736546
546,-1.736354137
9879,-0.212420575
12787,2.466378144
15399,0.0
5325,0.007742804
949,3.421997472
13087,-2.960414008
8213,0.0
9057,-3.507549446
6383,0.095668039
9118,0.0
4399,-0.930132211
4992,0.0
11639,2.980279953
7813,0.0
7802,0.0
13279,-0.094568119
3230,-0.229170363
3147,-3.324017103
9647,0.0
2605,0.512448457
1757,-0.906774692
747,3.388245884
10026,0.0
6220,-0.226099309
171,0.372384121
13120,0.0
5679,-0.038432375
3332,0.0
7184,0.0
1910,0.0
11329,2.233557947
915,-0.381809278
6991,2.870050076
9055,-3.505042464
14186,-0.515197552
10017,-0.042666793
11827,-0.754214544
13403,-2.700133172
14235,-1.104549622
6564,-0.537698582
14365,3.24002573
1145,0.904254294
8868,-0.986318265
5599,-1.755166945
4033,1.889498643
4559,-2.301987606
8372,0.0
14673,0.0
7182,-0.290275206
2415,-2.128267043
14178,-0.562525485
13271,-1.017560118
4416,-0.666159359
7014,-0.000757181
4859,-0.847192429
10628,0.0
11139,-0.844031219
13405,0.100603205
8290,0.0
11358,0.0
1723,-0.808425787
226,-0.097351778
7773,0.251860114
2663,0.0
2296,0.133222044
14961,-0.193529254
1115,-0.95192281
511,-2.977592318
656,2.493142644
6970,-3.640173866
15228,0.511280904
1128,0.854762125
1628,-0.873061673
10789,-1.177919283
7339,0.0
11413,-1.356150569
634,-0.276147953
5161,-4.601604652
4348,0.0
2029,-0.479573282
556,-0.008586071
4403,1.012780868
11861,-0.660200006
8527,2.740594433
120,-1.517011757
68,-0.166521095
14793,-0.058468935
1683,-0.820967413
13069,0.0
5327,-0.321328852
2279,-0.228764167
11336,-2.230049109
12277,-1.317561601
3781,-3.788909995
8485,-2.981285721
4871,-0.658727496
7095,-1.120027191
1548,0.0
11836,0.0
6114,3.32222462
4586,-0.977847658
7617,-0.154494068
9092,-1.10883097
10311,-0.059166717
14100,-1.078025176
12906,3.775845027
10175,1.759601727
5513,0.128313892
540,-0.075459513
10986,0.481550756
9443,-0.286209685
7629,0.660794864
4083,-0.623609444
5857,-0.934299883
6324,-0.163220263
12986,2.567003937
5111,-1.667431869
14126,0.0
9376,-1.029471144
10690,0.200149671
8339,-0.891400173
5723,-1.412195695
3194,0.0
7944,0.009786844
6984,0.102657463
3034,-0.097789128
10460,0.115370953
5984,-0.398660478
12244,-1.350305089
11504,-1.74460956
11237,-0.539534188
11072,-0.229531089
1066,0.23586933
5403,-0.16613261
8966,-0.624322598
2356,0.139903496
898,0.0
12932,-1.124606224
2057,0.0
4266,-1.300149106
190,-1.064110549
12522,-0.029304489
10362,-0.164464473
762,-0.820951982
7668,-0.432501842
5008,0.0
3324,0.005864223
10496,-0.455670507
1710,-0.022081427
7146,-1.702869897
1614,-0.429191035
13047,-1.475430331
1239,-2.506846546
4096,-0.566496734
1735,-0.42802879
9029,-0.456921702
981,-0.877340868
14446,0.09368238
4471,0.0
6824,0.193458048
10493,-0.19604564
11910,0.0
8635,2.987667201
14179,0.004279398
6641,0.0
1702,0.0
10574,1.030122218
12270,-1.391128357
8994,0.0
10215,0.0
49,-0.918807403
7914,-0.947318875
9061,-0.289898039
4076,-0.643162738
8757,0.177125265
9097,0.230825017
7076,-1.208305939
5286,-0.742021285
5877,-1.577254348
15143,1.407452491
5067,-1.397198401
14204,0.0
